x,y,v
5112.63,-15552.2,4934.3
5267.89,-15500.3,4934.3
5422.63,-15446.8,4934.3
5576.83,-15391.8,4934.3
5730.46,-15335.3,4934.3
5883.53,-15277.2,4934.3
6036,-15217.6,4934.3
6187.87,-15156.5,4934.3
6339.13,-15093.9,4934.3
6489.75,-15029.7,4934.3
6639.72,-14964.1,4934.3
6789.02,-14896.9,4934.3
6937.65,-14828.3,4934.3
7085.58,-14758.2,4934.3
7232.81,-14686.6,4934.3
7379.31,-14613.5,4934.3
7525.07,-14539,4934.3
7670.09,-14463,4934.3
7814.33,-14385.6,4934.3
7957.79,-14306.8,4934.3
8100.46,-14226.5,4934.3
8242.32,-14144.7,4934.3
8383.35,-14061.6,4934.3
8523.55,-13977.1,4934.3
8662.89,-13891.1,4934.3
8801.36,-13803.8,4934.3
8938.96,-13715.1,4934.3
9075.66,-13625.1,4934.3
9211.46,-13533.6,4934.3
9346.33,-13440.8,4934.3
9480.27,-13346.7,4934.3
9613.26,-13251.2,4934.3
9745.29,-13154.4,4934.3
9876.34,-13056.3,4934.3
10006.4,-12956.9,4934.3
10135.5,-12856.2,4934.3
10263.5,-12754.2,4934.3
10390.6,-12650.9,4934.3
10516.5,-12546.4,4934.3
10641.5,-12440.6,4934.3
10765.4,-12333.6,4934.3
10888.1,-12225.3,4934.3
11009.9,-12115.8,4934.3
11130.5,-12005.1,4934.3
11250,-11893.2,4934.3
11368.3,-11780.1,4934.3
11485.6,-11665.8,4934.3
11601.6,-11550.4,4934.3
11716.6,-11433.8,4934.3
11830.3,-11316.1,4934.3
11942.9,-11197.2,4934.3
12054.2,-11077.2,4934.3
12164.4,-10956.1,4934.3
12273.4,-10833.9,4934.3
12381.1,-10710.7,4934.3
12487.6,-10586.3,4934.3
12592.8,-10460.9,4934.3
12696.8,-10334.5,4934.3
12799.5,-10207,4934.3
12900.9,-10078.5,4934.3
13001.1,-9948.97,4934.3
13099.9,-9818.46,4934.3
13197.4,-9686.98,4934.3
13293.6,-9554.52,4934.3
13388.5,-9421.11,4934.3
13482.1,-9286.75,4934.3
13574.2,-9151.47,4934.3
13665.1,-9015.27,4934.3
13754.6,-8878.17,4934.3
13842.6,-8740.19,4934.3
13929.4,-8601.33,4934.3
14014.7,-8461.6,4934.3
14098.6,-8321.04,4934.3
14181.1,-8179.64,4934.3
14262.2,-8037.42,4934.3
14341.8,-7894.4,4934.3
14420.1,-7750.59,4934.3
14496.8,-7606,4934.3
14572.2,-7460.66,4934.3
14646.1,-7314.56,4934.3
14718.5,-7167.74,4934.3
14789.4,-7020.2,4934.3
14858.9,-6871.96,4934.3
14926.8,-6723.03,4934.3
14993.3,-6573.42,4934.3
15058.3,-6423.17,4934.3
15121.8,-6272.26,4934.3
15183.7,-6120.73,4934.3
15244.2,-5968.59,4934.3
15303.1,-5815.86,4934.3
15360.5,-5662.54,4934.3
15416.4,-5508.65,4934.3
15470.7,-5354.21,4934.3
15523.5,-5199.24,4934.3
15574.7,-5043.75,4934.3
15624.3,-4887.75,4934.3
15672.4,-4731.27,4934.3
15718.9,-4574.31,4934.3
15763.9,-4416.9,4934.3
15807.3,-4259.04,4934.3
15849.1,-4100.76,4934.3
15889.3,-3942.06,4934.3
15927.9,-3782.97,4934.3
15965,-3623.51,4934.3
16000.4,-3463.68,4934.3
16034.2,-3303.51,4934.3
16066.5,-3143,4934.3
16097.1,-2982.18,4934.3
16126.1,-2821.07,4934.3
16153.5,-2659.67,4934.3
16179.3,-2498,4934.3
16203.5,-2336.09,4934.3
16226,-2173.94,4934.3
16246.9,-2011.57,4934.3
16266.2,-1849,4934.3
16283.9,-1686.25,4934.3
16300,-1523.33,4934.3
16314.4,-1360.26,4934.3
16327.2,-1197.05,4934.3
16338.3,-1033.72,4934.3
16347.9,-870.286,4934.3
16355.7,-706.767,4934.3
16362,-543.177,4934.3
16366.6,-379.533,4934.3
16369.6,-215.85,4934.3
16370.9,-52.1466,4934.3
